channel,mean,std,count,sem,z,p_uncorrected,p_fdr,significant
FC3,-0.01566053401032709,0.6797547165447052,50,0.0961318339224601,-0.16290684751690965,0.870591779315643,0.9892307401572299,False
FC4,0.043717129773924224,0.6451238506332159,50,0.09123428989758486,0.47917433042991764,0.6318146141021046,0.9892307401572299,False
FC5,-0.038425199087770597,0.64303621625164,50,0.09093905381201477,-0.4225379248744053,0.67263242501464,0.9892307401572299,False
FC6,-0.034270951580204045,0.5603901842718351,50,0.0792511398817987,-0.4324348095348332,0.6654254230987968,0.9892307401572299,False
FCz,0.07321871762637695,0.6780833784836909,50,0.09589547102714042,0.7635263359377475,0.4451495622366122,0.9892307401572299,False
FT7,0.037031260285123595,0.7338794489001707,50,0.1037862269781514,0.3568032229644425,0.7212391232987068,0.9892307401572299,False
FT8,0.09414298579857809,0.7259941511367278,50,0.1026710774741103,0.9169377405464293,0.3591752659121594,0.9892307401572299,False
Fp1,-0.04380109623122745,0.6697983535000586,50,0.09472379155749514,-0.46240860412181883,0.6437883302948768,0.9892307401572299,False
Fp2,-0.04810682259442464,0.6460405941033819,50,0.09136393700245744,-0.526540604233492,0.5985126478592406,0.9892307401572299,False
Fpz,-0.04312671482892159,0.6616626387286247,50,0.09357322774055905,-0.4608873271796783,0.644879444330217,0.9892307401572299,False
Fz,0.03836726815393988,0.6448547602651873,50,0.09119623477278786,0.42071109897826975,0.6739660554796767,0.9892307401572299,False
Iz,0.021499864349827657,0.5881057545848094,50,0.08317071342435005,0.2585028246677646,0.7960188692227073,0.9892307401572299,False
O1,0.01048955725945171,0.6383466222945251,50,0.09027584507439729,0.11619450641317347,0.9074983905104523,0.9892307401572299,False
O2,-0.01853338380571828,0.6789181224706251,50,0.09601352165388359,-0.19302889308163018,0.8469363401917642,0.9892307401572299,False
Oz,0.0028470140683748337,0.612356819369808,50,0.08660033189644341,0.032875325140546696,0.9737740098422731,0.9892307401572299,False
P1,-0.12359489951349285,0.7128428576120586,50,0.10081120370757662,-1.2260036084084955,0.22019731713678525,0.9892307401572299,False
P10,0.0069043616959490175,0.7519803942640297,50,0.1063460872206858,0.06492351412630086,0.948234898522071,0.9892307401572299,False
P2,-0.08205956686020377,0.7996841564756458,50,0.11309241797027467,-0.7255974214095625,0.46808560234317076,0.9892307401572299,False
P3,-0.004889674821414784,0.694554518134333,50,0.09822484193530835,-0.0497804295234719,0.9602973623225004,0.9892307401572299,False
P4,-0.07828013961787814,0.6495970674923778,50,0.09186689829255114,-0.8521038706302478,0.3941564438799141,0.9892307401572299,False
P5,0.01576701224187063,0.6932283566297502,50,0.09803729437674054,0.16082667664491743,0.8722299138048197,0.9892307401572299,False
P6,-0.037787543475215665,0.6440500872315099,50,0.09108243682103762,-0.4148718984041032,0.6782356826340563,0.9892307401572299,False
P7,0.017578930900961368,0.8645276055836342,50,0.12226266648623133,0.1437800385528237,0.8856741660051601,0.9892307401572299,False
