sub_ch,Group,C(state)[T.OT],subject[C(subject_id)[025]],subject[C(subject_id)[026]],subject[C(subject_id)[027]],subject[C(subject_id)[028]],subject[C(subject_id)[029]],subject[C(subject_id)[030]],subject[C(subject_id)[031]],subject[C(subject_id)[032]],subject[C(subject_id)[033]],subject[C(subject_id)[034]],subject[C(subject_id)[035]],subject[C(subject_id)[036]],subject[C(subject_id)[037]],subject[C(subject_id)[038]],subject[C(subject_id)[039]],subject[C(subject_id)[040]],subject[C(subject_id)[041]],subject[C(subject_id)[042]],subject[C(subject_id)[043]],subject[C(subject_id)[044]],subject[C(subject_id)[045]],subject[C(subject_id)[046]],subject[C(subject_id)[047]],subject[C(subject_id)[048]],subject[C(subject_id)[049]],subject[C(subject_id)[050]],subject[C(subject_id)[051]],subject[C(subject_id)[052]],subject[C(subject_id)[053]],subject[C(subject_id)[054]],subject[C(subject_id)[055]],subject[C(subject_id)[060]],subject[C(subject_id)[061]],subject[C(subject_id)[062]],subject[C(subject_id)[063]],subject[C(subject_id)[064]],subject[C(subject_id)[065]],subject[C(subject_id)[066]],subject[C(subject_id)[067]],subject[C(subject_id)[068]],subject[C(subject_id)[069]],subject[C(subject_id)[070]],subject[C(subject_id)[071]],subject[C(subject_id)[072]],subject[C(subject_id)[073]],subject[C(subject_id)[074]],subject[C(subject_id)[075]],subject[C(subject_id)[076]],subject[C(subject_id)[077]],subject[C(subject_id)[078]]
025_TP8,0.42743551814861647,-0.41957690505927897,0.2054731816729939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026_AF3,-0.035130568178396396,0.01661777025097477,,-0.024242997784460624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026_AF4,0.14542366460145623,-0.18003569561773644,,0.054557296336384106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026_AF7,-0.011476487527730318,-0.09184093921036468,,-0.04796304734996188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026_AF8,0.11910533425801396,-0.33285904154111057,,-0.03164288339488109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026_AFz,-0.06619265876447952,0.08748300829997263,,-0.022553904596867548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026_C1,-0.23647037933949977,-0.11890726118674995,,-0.25818373941103523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026_C2,-0.42648551316391564,0.04189753336733713,,-0.3601131332339189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026_C3,-0.34637272436661837,-0.09173717603180362,,-0.3442418993228936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026_C4,-0.4750553471237711,-0.010332172479380026,,-0.4245900801575084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
